start,start_utc,stroom_eur_kwh_incl_btw,stroom_eur_kwh_excl_btw,gas_eur_m3_incl_btw,gas_eur_m3_excl_btw
2026-09-25T00:00:00+02:00,2026-09-24T22:00:00Z,0.220199,0.181983,,
2026-09-25T01:00:00+02:00,2026-09-24T23:00:00Z,0.208362,0.1722,,
2026-09-25T02:00:00+02:00,2026-09-25T00:00:00Z,0.199565,0.16493,,
2026-09-25T03:00:00+02:00,2026-09-25T01:00:00Z,0.199017,0.164477,,
2026-09-25T04:00:00+02:00,2026-09-25T02:00:00Z,0.195016,0.16117,,
2026-09-25T05:00:00+02:00,2026-09-25T03:00:00Z,0.200694,0.165863,,
2026-09-25T06:00:00+02:00,2026-09-25T04:00:00Z,0.217679,0.1799,,
2026-09-25T07:00:00+02:00,2026-09-25T05:00:00Z,0.25116,0.20757,,
2026-09-25T08:00:00+02:00,2026-09-25T06:00:00Z,0.257077,0.21246,,
2026-09-25T09:00:00+02:00,2026-09-25T07:00:00Z,0.235595,0.194707,,
2026-09-25T10:00:00+02:00,2026-09-25T08:00:00Z,0.187558,0.155007,,
2026-09-25T11:00:00+02:00,2026-09-25T09:00:00Z,0.12827,0.106008,,
2026-09-25T12:00:00+02:00,2026-09-25T10:00:00Z,0.074636,0.061683,,
2026-09-25T13:00:00+02:00,2026-09-25T11:00:00Z,0.042263,0.034928,,
2026-09-25T14:00:00+02:00,2026-09-25T12:00:00Z,0.052798,0.043635,,
2026-09-25T15:00:00+02:00,2026-09-25T13:00:00Z,0.103885,0.085855,,
2026-09-25T16:00:00+02:00,2026-09-25T14:00:00Z,0.175789,0.14528,,
2026-09-25T17:00:00+02:00,2026-09-25T15:00:00Z,0.236255,0.195252,,
2026-09-25T18:00:00+02:00,2026-09-25T16:00:00Z,0.290876,0.240393,,
2026-09-25T19:00:00+02:00,2026-09-25T17:00:00Z,0.359858,0.297403,,
2026-09-25T20:00:00+02:00,2026-09-25T18:00:00Z,0.305146,0.252187,,
2026-09-25T21:00:00+02:00,2026-09-25T19:00:00Z,0.271343,0.22425,,
2026-09-25T22:00:00+02:00,2026-09-25T20:00:00Z,0.249889,0.20652,,
2026-09-25T23:00:00+02:00,2026-09-25T21:00:00Z,0.21417,0.177,,
